Bölüm,Kategori,Seri,Model,Kaynak Dosya,Özellikler
Güç Kalitesi ve Enerji Verimliliği,Güç ve Enerji Ölçerler,ES,ES-32L,guc_enerji_olcerler.csv,Ölçüm Akımı: 32A | CT-80D Trafo: Yok | kWh Aktif Enerji: Var | Enerji Pals Çıkışı: Var | MID Uyumluluğu: Opsiyonel | RS-485: Yok
Güç Kalitesi ve Enerji Verimliliği,Güç ve Enerji Ölçerler,ES,ES-32LS,guc_enerji_olcerler.csv,Ölçüm Akımı: 32A | CT-80D Trafo: Yok | kWh Aktif Enerji: Var | Enerji Pals Çıkışı: Yok | MID Uyumluluğu: Opsiyonel | RS-485: Var
Güç Kalitesi ve Enerji Verimliliği,Güç ve Enerji Ölçerler,ES,ES-45L,guc_enerji_olcerler.csv,Ölçüm Akımı: 45A | CT-80D Trafo: Yok | kWh Aktif Enerji: Var | Enerji Pals Çıkışı: Var | MID Uyumluluğu: Opsiyonel | RS-485: Yok
Güç Kalitesi ve Enerji Verimliliği,Güç ve Enerji Ölçerler,ES,ES-45LS,guc_enerji_olcerler.csv,Ölçüm Akımı: 45A | CT-80D Trafo: Yok | kWh Aktif Enerji: Var | Enerji Pals Çıkışı: Yok | MID Uyumluluğu: Opsiyonel | RS-485: Var
Güç Kalitesi ve Enerji Verimliliği,Güç ve Enerji Ölçerler,ES,ES-80L,guc_enerji_olcerler.csv,Ölçüm Akımı: 80A | CT-80D Trafo: Var | kWh Aktif Enerji: Var | Enerji Pals Çıkışı: Var | MID Uyumluluğu: Opsiyonel | RS-485: Yok
Güç Kalitesi ve Enerji Verimliliği,Güç ve Enerji Ölçerler,ES,ES-80LS,guc_enerji_olcerler.csv,Ölçüm Akımı: 80A | CT-80D Trafo: Var | kWh Aktif Enerji: Var | Enerji Pals Çıkışı: Yok | MID Uyumluluğu: Opsiyonel | RS-485: Var
Güç Kalitesi ve Enerji Verimliliği,Güç ve Enerji Ölçerler,ES3,ES3-63LS,guc_enerji_olcerler.csv,Boyut: DIN4 | Ölçüm Akımı: 63A | LCD 7+1 Segment: Var | 8 Tarife: Var | Çift Yönlü Ölçüm: Var | Pals Sayacı: Var | Log Kaydı: Var | MID Sertifikası: Yok | RS-485: Var | Ethernet: Yok
Güç Kalitesi ve Enerji Verimliliği,Güç ve Enerji Ölçerler,ES3,ES3-80LS,guc_enerji_olcerler.csv,Boyut: DIN4 | Ölçüm Akımı: 80A | LCD 7+1 Segment: Var | 8 Tarife: Var | Çift Yönlü Ölçüm: Var | Pals Sayacı: Var | Log Kaydı: Var | MID Sertifikası: Yok | RS-485: Var | Ethernet: Yok
Güç Kalitesi ve Enerji Verimliliği,Güç ve Enerji Ölçerler,ES3,ES3-63LSE,guc_enerji_olcerler.csv,Boyut: DIN4 | Ölçüm Akımı: 63A | LCD 7+1 Segment: Var | 8 Tarife: Var | Çift Yönlü Ölçüm: Var | Pals Sayacı: Var | Log Kaydı: Var | MID Sertifikası: Yok | RS-485: Yok | Ethernet: Var
Güç Kalitesi ve Enerji Verimliliği,Güç ve Enerji Ölçerler,ES3,ES3-80LSE,guc_enerji_olcerler.csv,Boyut: DIN4 | Ölçüm Akımı: 80A | LCD 7+1 Segment: Var | 8 Tarife: Var | Çift Yönlü Ölçüm: Var | Pals Sayacı: Var | Log Kaydı: Var | MID Sertifikası: Yok | RS-485: Yok | Ethernet: Var
