urun_grubu,urun,baslik,problem_tarifi,cozum,etiketler,link
Kompanzasyon Ürün Grubu,AHF (Aktif Harmonik Filtre),AHF (Aktif Harmonik Filtre) Kullanım Amacı,AHF  (Aktif Harmonik Filtre) ürünü hangi amaçlarla uygulamaları yapabilirim?,"AHF (Aktif Harmonik Filtre) cihazı ile yapılan güç kalitesi ölçümü ve analizler sonrasında bağlı olduğu noktadan sonraki yüklerin harmonikleri, 51. harmoniğe kadar sönümlenmesi, rekatif güç sıfırlama ve fazlar arasındaki yük dengesizliğinin önlenmesi şeklinde 3 farklı özelliği aktif olarak kullanabiliriz.",No labels,https://destek.entes.com.tr/spaces/SP/pages/55607299/AHF+Aktif+Harmonik+Filtre+Kullan%C4%B1m+Amac%C4%B1
Koruma & Kontrol Ürün Grubu,FG-4R-FG-4A-FG-4T,FG-4R röle var içinde kullanılan sigortanın değeri nedir?,Kullanmakta olduğum FG-4R fotosel rölenizde kullandığınız cam sigortanın akım değeri nedir?,FG-4R fotosel rölelerimizde 4A cam sigorta kullanılmaktadır.,No labels,https://destek.entes.com.tr/spaces/SP/pages/55607297/FG-4R+r%C3%B6le+var+i%C3%A7inde+kullan%C4%B1lan+sigortan%C4%B1n+de%C4%9Feri+nedir
Koruma & Kontrol Ürün Grubu,Hidrafor Sıralama Rölesi,HRF-03 Hidrafor Sıralama Rölesi,Bir adet hidrafor sıralama rölesi ile 2 adet hidrafor pompasını eş yaşlandırmalı kullanabilir miyim?,"Hayır, ürün 3 hidrafor çıkışlı olduğundan dolayı eş yaşlandırma yapabilmek için 3 adet hidrafor pompasının olduğu sistemde kullanılmalıdır.",No labels,https://destek.entes.com.tr/spaces/SP/pages/44826628/HRF-03+Hidrafor+S%C4%B1ralama+R%C3%B6lesi
Enerji Verimliliği Ürün Grubu,DCV,Dc voltmetreler de gerilim ölçümü hakkında,DC voltmetre kullanmayı düşünüyorum gerilim ölçüm aralığı nedir?,DC serisi voltmetrelerimizde gerilim ölçüm aralığı + ve - yönde max. 200V'a kadardır.,No labels,https://destek.entes.com.tr/spaces/SP/pages/44826626/Dc+voltmetreler+de+gerilim+%C3%B6l%C3%A7%C3%BCm%C3%BC+hakk%C4%B1nda
Enerji Verimliliği Ürün Grubu,Emm-04c,Emm-04c ürününde alarm tanımlamak,Emm-04c serisi multimetreniz de kaç adet alarm tanımlama yapabilirim,Emm-04c serisi multimetremizde 8 adet alarm tanımlama yapılabilmektedir.,No labels,https://destek.entes.com.tr/spaces/SP/pages/29524028/Emm-04c+%C3%BCr%C3%BCn%C3%BCnde+alarm+tan%C4%B1mlamak
Enerji Yönetimi Ürün Grubu,Haberleşmeli Entes Tüm Donanımları,Enerji Doktoru 'ndan Cihaz Ayarlarının Kontrolü,Enerji Doktoru üzerinden takip ettiğim donanımların ayarlarını yapabilir miyim?,"Enerji Doktoru'nda, anlık olarak haberleştiğiniz Entes donanımlarının ayarları yapılabilmektedir.",No labels,https://destek.entes.com.tr/spaces/SP/pages/22609935/Enerji+Doktoru+ndan+Cihaz+Ayarlar%C4%B1n%C4%B1n+Kontrol%C3%BC
Enerji Yönetimi Ürün Grubu,Enerji Doktoru,Enerji Doktoru Lisans Süresi Yönetimi,"Enerji Doktoru hesabımın lisans süresi sona erdiğinde, sistemde hangi özellikleri kullanabileceğim?","Enerji Doktoru, lisans süresi bitimine 10 gün kala kullanıcıyı otomatik bir e-posta ile bilgilendirir. Lisans süresinin sona ermesinin ardından, kullanıcı, o ayın sonuna kadar sisteme giriş yapabilir. Ancak, ilgili ayın sonunda sisteme erişim engellenir ve kullanıcı, müşteri hizmetleriyle iletişime geçmesi gerektiği konusunda bir uyarı mesajı alır.",enerjidoktoru,https://destek.entes.com.tr/spaces/SP/pages/22609933/Enerji+Doktoru+Lisans+S%C3%BCresi+Y%C3%B6netimi
Enerji Yönetimi Ürün Grubu,"EMK-01, EMK-10P",EMK-01 Web Arayüz Kullanımı,EMK-01 kalite analizörünün web arayüzünden hangi parametreleri görüntüleyebilirim ? Cihaz ayarlarına müdahale edilebilir mi ?,"Web arayüzünden cihaz bilgilerini, anlık enerji parametrelerini görüntülenebilir. Cihaz ayarlarında bir değişiklik yapılamaz.",emk-01;emk-10p,https://destek.entes.com.tr/spaces/SP/pages/22609931/EMK-01+Web+Aray%C3%BCz+Kullan%C4%B1m%C4%B1
Enerji Yönetimi Ürün Grubu,"Enerji Doktoru, Enerthings, Enermedic",Enerji Doktoru sisteminde kayıtlı donanımların listesini dosya olarak dışarı alabilir miyim?,Sisteminde kayıtlı donanımların listesini dosya olarak dışarı alabilir miyim?,Sistemde kayıtlı tüm donanımlar excel olarak dışarı alınabilir.,enerjidoktoru;enerthings;enermedic;donanım;excel,https://destek.entes.com.tr/spaces/SP/pages/20905997/Enerji+Doktoru+sisteminde+kay%C4%B1tl%C4%B1+donan%C4%B1mlar%C4%B1n+listesini+dosya+olarak+d%C4%B1%C5%9Far%C4%B1+alabilir+miyim
Enerji Yönetimi Ürün Grubu,"Enerji Doktoru, Enerthings, Enermedic","Enerji Doktoru sisteminde tanımlı birden fazla tesisin, bu tesislerde bulunan yük veya bölümlerin tek ekranda tüketimlerinin görülebilmesi ve kıyaslanması mümkün müdür?",Sistemdeki birden fazla tesisin veya bu tesislerde bulunan yük veya bölümlerin tek ekranda tüketimlerinin görülebilmesi ve kıyaslanması mümkün müdür?,"Enerji Verimliliği Modülü ile bu destek sağlanabilir. Sistemdeki tesislerin, bölümlerin ve yüklerin isteğe bağlı gruplandırma veya kategori şeklindeki isim etiketlerini tanımlamaları halinde Enerji Verimliliği Modülünde filtreleme yaparak farklı sonuçlar elde edilebilir.",enerjidoktoru;enerthings;enermedic;kıyaslama;verimlilik;analiz,https://destek.entes.com.tr/spaces/SP/pages/20905994/Enerji+Doktoru+sisteminde+tan%C4%B1ml%C4%B1+birden+fazla+tesisin+bu+tesislerde+bulunan+y%C3%BCk+veya+b%C3%B6l%C3%BCmlerin+tek+ekranda+t%C3%BCketimlerinin+g%C3%B6r%C3%BClebilmesi+ve+k%C4%B1yaslanmas%C4%B1+m%C3%BCmk%C3%BCn+m%C3%BCd%C3%BCr
Enerji Yönetimi Ürün Grubu,"Enerji Doktoru, Enermedic, Enerthings",Enerji Doktoru Sisteminde Farklı Marka Donanımlar İzlenebilir mi?,Enerji Doktoru Sisteminde Farklı Marka Donanımlar İzlenebilir mi?,Enerji Doktoru ve Enermedic portallarında talep olması halinde numune ürün sağlanması koşulu ile mümkündür. Bu işlem ön kontroller sonrası ek ücrete tabi bir hizmettir. Enerthings modeli için farklı marka cihazların modellenmesi yazılım ara yüzünde müşteri tarafından yapılabilmesine imkan sağlanarak desteklenmiştir. Sistemdeki hazır enerji verimliliği ve kompanzasyon tablolarının sağlanması halinde anlık izleme ve geçmişe dönük kayıt desteği alınabilir.,enerthings;modelleme;third;3rd;enermedic;enerjidoktoru,https://destek.entes.com.tr/spaces/SP/pages/983426/Enerji+Doktoru+Sisteminde+Farkl%C4%B1+Marka+Donan%C4%B1mlar+%C4%B0zlenebilir+mi
Kompanzasyon Ürün Grubu,Aktif Harmonik Filtre,Aktif Harmonik Filtre Nedir?,Aktif harmonik filtre nedir?,"Aktif Harmonik Filtre, harmoniklerin yok edilmesi için kullanılan güç elektroniği tabanlı, gelişmiş bir çözümdür. Sistem elektronik olarak kontrol edilir. Aktif harmonik filtre kendisi ile şebeke arasındaki harmonikleri yok eder. Ayrıca kompanzasyon ve yük dengeleme işlemlerinde de kullanılabilir.",No labels,https://destek.entes.com.tr/spaces/SP/pages/20905991/Aktif+Harmonik+Filtre+Nedir
Enerji Verimliliği Ürün Grubu,EMR Serisi,EMR-53 Serisi Analizörlerde Akım Trafosu Kullanımı Hakkında,EMR 53 serisi analizörlerde neden akım trafosunun primer değerini giriyoruz?,"EMR serisi analizörlerimiz hem Sekonderi 5A hem de  1A akım trafolarını desteklemektedir, bu yüzden ayar yaparken sekonder ve primer değeri girilmektedir.",No labels,https://destek.entes.com.tr/spaces/SP/pages/20905985/EMR-53+Serisi+Analiz%C3%B6rlerde+Ak%C4%B1m+Trafosu+Kullan%C4%B1m%C4%B1+Hakk%C4%B1nda
Enerji Verimliliği Ürün Grubu,EPM-07,EMP-07 Pulse Bağlantısı Hakkında,EPM-07 Analizör bağladım pulse çıkışı alamıyorum.Pulse çıkışı yapısı hakkında bilgi alabilir miyim?,"Pulse çıkışı için öncelikle bağlantıların doğru olması gerekmektedir.
Akım ve gerilim aynı sırada bağlı olmalıdır. Akım trfosu sekonder (k ve l )uları doğru bağlanmalıdır.
Pulse çıkışlı cihazlarımda NPN transistör kullanılmaktadır.",No labels,https://destek.entes.com.tr/spaces/SP/pages/10420225/EMP-07+Pulse+Ba%C4%9Flant%C4%B1s%C4%B1+Hakk%C4%B1nda
