Kategori,Seri,Model,Faz,Ömür,Qn 230 VAC (kVAr),Qn 400 VAC (kVAr),C (uF),In (A),Boyutlar DxH (mm),Koli Boyutları (mm),Çalışma Sıcaklığı,Kolideki Adet,Koli Ağırlığı (kg),Dielektrik Kayıp,İzin Verilen Aşırı Akım,Maks. Kalkış Akımı,Koruma Sınıfı,Deşarj Direnci,Qn 450 VAC (kVAr),Qn 525 VAC (kVAr),Not
Alçak Gerilim Güç Kondansatörleri,ENT.CF,"ENT.CF-230-0,26",Tek Fazlı,110.000 Saat,"0,26","0,8",15,"1,2",40x72,195x390x250,-40°C+75°C,100,10,"≤0,3 W/kVAr",2 x In,100 In,IP00,"Harici, 60 sn.",Belirsiz,Belirsiz,Belirsiz
Alçak Gerilim Güç Kondansatörleri,ENT.CF,"ENT.CF-400-1,67",Tek Fazlı,110.000 Saat,"0,55","1,67","33,2","4,2",50x122,195x390x200,-25°C+55°C,25,"7,3","≤0,3 W/kVAr",2 x In,100 In,IP00,"Harici, 60 sn.",Belirsiz,Belirsiz,Belirsiz
Alçak Gerilim Güç Kondansatörleri,ENT.CF,"ENT.CF-400-2,5",Tek Fazlı,110.000 Saat,"0,83","2,5",50,"6,25",55x132,195x390x255,-25°C+55°C,25,"9,5","≤0,3 W/kVAr",2 x In,100 In,IP00,"Harici, 60 sn.",Belirsiz,Belirsiz,Belirsiz
Alçak Gerilim Güç Kondansatörleri,ENT.CF,"ENT.CF-400-4,17",Tek Fazlı,110.000 Saat,"1,38","4,17",83,"10,4",60x137,195x390x255,-25°C+55°C,18,"7,7","≤0,3 W/kVAr",2 x In,100 In,IP00,"Harici, 60 sn.",Belirsiz,Belirsiz,Belirsiz
Alçak Gerilim Güç Kondansatörleri,ENT.CM,"ENT.CM-400-8,33",Tek Fazlı,110.000 Saat,"2,76","8,33","165,8","20,8",65x165,195x390x255,-25°C+55°C,16,"9,8","≤0,2 W/kVAr",4 x In,200 In,IP00,"Harici, 60 sn.",Belirsiz,Belirsiz,Belirsiz
Alçak Gerilim Güç Kondansatörleri,ENT.CF,ENT.CF-230-5,Tek Fazlı,110.000 Saat,5,Belirsiz,300,"20,7",75x180,190x285x265,-40°C+70°C,6,"5,5","≤0,3 W/kVAr",2 x In,100 In,IP00,"Harici, 60 sn.",Belirsiz,Belirsiz,Belirsiz
Alçak Gerilim Güç Kondansatörleri,ENT.CF,ENT.CF-230-10,Tek Fazlı,110.000 Saat,10,Belirsiz,600,43,85x280,190x285x375,-40°C+70°C,6,"10,7","≤0,3 W/kVAr",2 x In,100 In,IP00,"Harici, 60 sn.",Belirsiz,Belirsiz,Belirsiz
Alçak Gerilim Güç Kondansatörleri,ENT.CMD,"ENT.CMD-400-0,5",Üç Fazlı,80.000 Saat,Belirsiz,"0,5","3x3,32","0,7",50x150,195x390x255,-25°C+55°C,21,"5,5","≤0,2 W/kVAr",3 x In,200 In,IP20,"Dahili, 60 sn.",Belirsiz,Belirsiz,Belirsiz
Alçak Gerilim Güç Kondansatörleri,ENT.CMD,ENT.CMD-400-1,Üç Fazlı,80.000 Saat,Belirsiz,1,"3x6,63","1,4",50x150,195x390x255,-25°C+55°C,21,6,"≤0,2 W/kVAr",3 x In,200 In,IP20,"Dahili, 60 sn.",Belirsiz,Belirsiz,Belirsiz
Alçak Gerilim Güç Kondansatörleri,ENT.CMD,"ENT.CMD-400-1,5",Üç Fazlı,80.000 Saat,Belirsiz,"1,5","3x9,95","2,2",50x150,195x390x255,-25°C+55°C,21,"7,5","≤0,2 W/kVAr",3 x In,200 In,IP20,"Dahili, 60 sn.",Belirsiz,Belirsiz,Belirsiz
