Kategori,Seri,Model,Giriş/Çıkış Gerilim (V),Anma Güç (VA),Kısa Süreli Güç (VA),Ağırlık (kg),Klemens Çapı,A (mm),B (mm),C (mm),D (mm),E (mm),F (mm),H (mm)
İzolasyon Trafoları,ENT.IST,ENT.IST.2323.25,230/230,25,51,1,4 mm 2,66,76,80,50,64,80,5*8
İzolasyon Trafoları,ENT.IST,ENT.IST.2323.50,230/230,50,104,"1,5",4 mm 2,84,76,91,64,64,82,5*8
İzolasyon Trafoları,ENT.IST,ENT.IST.2323.100,230/230,100,199,2,4 mm 2,84,76,91,64,64,96,6*9
İzolasyon Trafoları,ENT.IST,ENT.IST.2323.160,230/230,160,338,"2,4",4 mm 2,96,89,99,84,74,100,6*9
İzolasyon Trafoları,ENT.IST,ENT.IST.2323.200,230/230,200,428,"2,9",4 mm 2,96,89,99,84,74,100,6*9
İzolasyon Trafoları,ENT.IST,ENT.IST.2323.250,230/230,250,548,"3,4",4 mm 2,96,102,99,84,87,114,6*9
İzolasyon Trafoları,ENT.IST,ENT.IST.2323.320,230/230,320,701,"4,4",4 mm 2,120,90,127,90,83,92,6*9
İzolasyon Trafoları,ENT.IST,ENT.IST.2323.400,230/230,400,959,"5,4",4 mm 2,120,102,127,90,95,106,7*13
İzolasyon Trafoları,ENT.IST,ENT.IST.2323.500,230/230,500,1259,"7,1",4 mm 2,120,122,127,90,109,126,7*13
İzolasyon Trafoları,ENT.IST,ENT.IST.2323.630,230/230,630,1493,"8,1",4 mm 2,150,113,141,122,89,102,7*13
İzolasyon Trafoları,ENT.IST,ENT.IST.4023.25,400/230,25,51,1,4 mm 2,66,76,80,50,64,80,5*8
İzolasyon Trafoları,ENT.IST,ENT.IST.4023.50,400/230,50,95,"1,5",4 mm 2,84,76,91,64,64,82,5*8
İzolasyon Trafoları,ENT.IST,ENT.IST.4023.100,400/230,100,216,2,4 mm 2,84,76,91,64,64,96,6*9
İzolasyon Trafoları,ENT.IST,ENT.IST.4023.160,400/230,160,330,"2,5",4 mm 2,96,89,99,84,74,100,6*9
İzolasyon Trafoları,ENT.IST,ENT.IST.4023.200,400/230,200,454,3,4 mm 2,96,89,99,84,74,100,6*9
İzolasyon Trafoları,ENT.IST,ENT.IST.4023.250,400/230,250,555,"3,6",4 mm 2,96,102,99,84,87,114,6*9
İzolasyon Trafoları,ENT.IST,ENT.IST.4023.320,400/230,320,744,"4,5",4 mm 2,120,90,127,90,83,92,6*9
İzolasyon Trafoları,ENT.IST,ENT.IST.4023.400,400/230,400,942,"5,6",4 mm 2,120,102,127,90,95,106,7*13
İzolasyon Trafoları,ENT.IST,ENT.IST.4023.500,400/230,500,1174,"7,1",4 mm 2,120,122,127,90,109,126,7*13
İzolasyon Trafoları,ENT.IST,ENT.IST.4023.630,400/230,630,1555,"8,3",4 mm 2,150,113,141,122,89,102,7*13
